title,brand,category,price,rating_stars,reviews_count,ram_gb,storage_gb,storage_type,screen_inches,cpu_ghz,cpu_flag,battery_mah,camera_mp,description,product_page_url,image_url,image_path,source
Asus VivoBook X441NA-GA190,Asus,laptops,295.99,,14,4,4.0,SSD,,,,,,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",https://webscraper.io/test-sites/e-commerce/allinone/product/60,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Prestigio SmartBook 133S Dark Grey,Prestigio SmartBook,laptops,299.0,,8,4,4.0,,,1.1,,,,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",https://webscraper.io/test-sites/e-commerce/allinone/product/61,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Prestigio SmartBook 133S Gold,Prestigio SmartBook,laptops,299.0,,12,4,4.0,,,1.1,,,,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",https://webscraper.io/test-sites/e-commerce/allinone/product/62,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Aspire E1-510,Aspire E1-510,laptops,306.99,,2,4,4.0,,,2.16,,,,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",https://webscraper.io/test-sites/e-commerce/allinone/product/32,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Lenovo V110-15IAP,Lenovo,laptops,321.94,,5,4,4.0,SSD,,1.1,,,,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/63,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Lenovo V110-15IAP,Lenovo,laptops,356.49,,6,4,4.0,,,,,,,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",https://webscraper.io/test-sites/e-commerce/allinone/product/64,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Hewlett Packard 250 G6 Dark Ash Silver,Hewlett Packard,laptops,364.46,,12,4,4.0,SSD,,1.6,,,,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",https://webscraper.io/test-sites/e-commerce/allinone/product/65,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Aspire 3 A315-31 Black,Acer,laptops,372.7,,2,4,4.0,SSD,,1.1,,,,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/66,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Aspire A315-31-C33J,Acer,laptops,379.94,,0,4,4.0,,,,,,,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",https://webscraper.io/test-sites/e-commerce/allinone/product/67,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Aspire ES1-572 Black,Acer,laptops,379.95,,9,4,4.0,SSD,,,,,,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",https://webscraper.io/test-sites/e-commerce/allinone/product/68,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Aspire 3 A315-31 Black,Acer,laptops,391.48,,10,4,4.0,SSD,,1.1,,,,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/69,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Aspire 3 A315-21,Acer,laptops,393.88,,9,4,4.0,SSD,,,,,,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",https://webscraper.io/test-sites/e-commerce/allinone/product/70,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Asus VivoBook Max,Asus,laptops,399.0,,4,4,4.0,,,1.1,,,,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/45,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Asus VivoBook E502NA-GO022T Dark Blue,Asus,laptops,399.99,,3,4,4.0,SSD,,1.1,,,,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",https://webscraper.io/test-sites/e-commerce/allinone/product/71,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Lenovo ThinkPad E31-80,Lenovo,laptops,404.23,,12,4,4.0,SSD,,1.6,,,,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/72,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Aspire 3 A315-31 Black,Acer,laptops,408.98,,10,4,4.0,SSD,,1.1,,,,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/73,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Lenovo V110-15ISK,Lenovo,laptops,409.63,,9,8,8.0,SSD,,,,,,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/74,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Aspire ES1-732 Black,Acer,laptops,410.46,,14,4,4.0,,,,,,,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/75,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Asus VivoBook 15 X540NA-GQ026T,Asus,laptops,410.66,,4,4,4.0,SSD,,,,,,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",https://webscraper.io/test-sites/e-commerce/allinone/product/76,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Packard 255 G2,Packard 255,laptops,416.99,,2,4,4.0,,,1.3,,,,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",https://webscraper.io/test-sites/e-commerce/allinone/product/31,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Asus EeeBook R416NA-FA014T,Asus,laptops,433.3,,1,4,4.0,Flash,,,,,,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/allinone/product/77,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Aspire 3 A315-51,Acer,laptops,436.29,,1,4,4.0,,,,,,,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/78,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Aspire ES1-572 Black,Acer,laptops,436.29,,2,4,4.0,,,,,,,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/79,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Extensa 15 (2540) Black,Acer,laptops,439.73,,6,4,4.0,,,,i5,,,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",https://webscraper.io/test-sites/e-commerce/allinone/product/80,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Aspire ES1-572 Black,Acer,laptops,454.62,,9,4,4.0,,,,i5,,,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",https://webscraper.io/test-sites/e-commerce/allinone/product/81,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
